emp_no,first_name,last_name,dept_no,dept_name
10683,Guiseppe,Stranks,d004,Production
10693,Berhard,Daescu,d009,Customer Service
10694,Rildo,Straney,d001,Marketing
10696,Unal,Fendler,d005,Development
10702,Bader,Szemeredi,d005,Development
10712,Uma,Koprowski,d005,Development
10718,Adib,Rullman,d005,Development
10726,Zita,Minakawa,d005,Development
10731,Fumitaka,Peak,d002,Finance
10734,Sachar,Erdi,d004,Production
10741,Sven,Huttel,d001,Marketing
10742,Shim,Wiegley,d005,Development
10745,Poorav,Ranze,d004,Production
10747,Falguni,Khalid,d004,Production
10749,King,Brendel,d004,Production
10750,Roddy,Demeyer,d005,Development
10751,Jordanka,Ushiama,d005,Development
10764,Yunming,Beetstra,d005,Development
10767,Monique,Doering,d007,Sales
10768,Ishfaq,Candan,d004,Production
10777,Mizuhito,Kemmerer,d004,Production
10778,Selwyn,Merey,d001,Marketing
10780,Goncalo,Staudhammer,d004,Production
10782,Kish,Perna,d008,Research
10791,Tadahiko,Sgarro,d005,Development
10795,Supot,Naudin,d007,Sales
10801,Uinam,Zschoche,d004,Production
10803,Katsuyuki,Velasco,d006,Quality Management
10808,Chenxi,Leijenhorst,d005,Development
10811,Ashish,Fortenbacher,d004,Production
10813,Shalesh,Shumilov,d007,Sales
10814,Nidapan,Dymetman,d007,Sales
10826,Arnd,Anandan,d005,Development
10827,Willard,Danley,d002,Finance
10829,Alper,Narahara,d003,Human Resources
10830,Fen,Fiebach,d001,Marketing
10831,Toong,Driscoll,d005,Development
10833,Krisda,Gecseg,d006,Quality Management
10834,Huiqun,Rajcani,d004,Production
10835,Tomoyuki,Kermarrec,d004,Production
10836,Jianhua,Leivant,d007,Sales
10844,Dipayan,Koprowski,d005,Development
10846,Tokuyasu,Serre,d005,Development
10847,Theirry,Danley,d008,Research
10848,Fen,Bratsberg,d004,Production
10849,Makato,Mayerwieser,d005,Development
10854,Jagoda,Nannarelli,d005,Development
10858,Kenroku,Gonthier,d005,Development
10867,Billur,Gyorkos,d004,Production
10871,Aram,Gilg,d009,Customer Service
10872,Karoline,Speel,d002,Finance
10873,Sukumar,Wegerle,d002,Finance
10876,Vincent,Papastamatiou,d007,Sales
10878,Lakshmi,Deville,d007,Sales
10879,Muzhong,Chleq,d005,Development
10882,Fun,Heuser,d005,Development
10883,Shimshon,Champarnaud,d004,Production
10885,Rayond,Cronau,d001,Marketing
10887,Lunjin,DeMori,d005,Development
10895,Vishwani,Petersohn,d007,Sales
10900,Ferdinand,Prenel,d005,Development
10906,Munehiro,Carrere,d002,Finance
10909,Georgi,Atchley,d005,Development
10912,Oscal,Fasbender,d002,Finance
10913,Narain,Thummel,d002,Finance
10918,Susumu,Reghbati,d002,Finance
10920,Ronghao,Narahara,d003,Human Resources
10921,Mara,Bahi,d004,Production
10922,Kyoichi,Wossner,d007,Sales
10924,Hironoby,Atchley,d007,Sales
10926,Leni,Eppinger,d009,Customer Service
10927,Gal,Scallan,d001,Marketing
10930,Arch,Minakawa,d004,Production
10932,Avishai,Picci,d005,Development
10936,Mountaz,Schicker,d003,Human Resources
10940,Aleksander,Fioravanti,d005,Development
10942,Toshimitsu,Larfeldt,d005,Development
10943,Berna,Skafidas,d005,Development
10944,Remko,Zyda,d004,Production
10947,Gor,Usery,d009,Customer Service
10948,Shigehito,Brodie,d005,Development
10949,Shigeichiro,Wroclawski,d002,Finance
10956,Arno,Picel,d004,Production
10965,Eckart,Braunschweig,d007,Sales
10969,Premal,Noriega,d005,Development
10971,Isamu,Vadhan,d005,Development
10974,Muneo,Papsdorf,d005,Development
10985,Chiradeep,Furedi,d005,Development
10986,Masako,Schiper,d005,Development
10987,Flemming,Baezner,d005,Development
10988,Chinya,Deyuan,d005,Development
10989,Sumali,Candan,d002,Finance
10990,Shin,Foote,d005,Development
10996,Matk,Rahimi,d007,Sales
11002,Bluma,Ulupinar,d007,Sales
11004,JoAnna,Decleir,d004,Production
11009,Alper,Axelband,d007,Sales
11012,Taegyun,Speckmann,d009,Customer Service
11019,Leon,Huttel,d005,Development
11021,Srinidhi,Henders,d008,Research
11024,Manton,Collavizza,d007,Sales
11027,Remzi,Cappello,d004,Production
11028,Miyeon,Krider,d004,Production
11031,Ottavia,Walstra,d001,Marketing
11032,Erez,Schaaf,d005,Development
11037,Lansing,Maliniak,d004,Production
11038,Jinya,Beidas,d008,Research
11042,Gou,Breugel,d005,Development
11048,Jaques,Demke,d007,Sales
11050,Elvis,Katiyar,d001,Marketing
11051,Przemyslawa,Erol,d004,Production
11056,Palash,Speel,d007,Sales
11060,Genevieve,Pokrovskii,d007,Sales
11061,Pintsang,Erni,d002,Finance
11064,Shawna,Vieri,d004,Production
11066,Shaz,Langford,d002,Finance
11070,Adib,Raney,d006,Quality Management
11071,Kwan,Sigstam,d005,Development
11075,Karsten,Belinskaya,d004,Production
11077,Hideyuki,Merro,d009,Customer Service
11079,Piyush,Garigliano,d005,Development
11081,Barry,Boyle,d002,Finance
11083,Shimshon,Ducloy,d002,Finance
11084,Greger,Senzako,d004,Production
11085,Hailing,Thummel,d004,Production
11087,Changho,Jayawardene,d004,Production
11089,Conal,Henders,d007,Sales
11091,Souichi,Ramsay,d004,Production
11092,Narain,Stamatiou,d001,Marketing
11098,Arnd,Covnot,d005,Development
11100,Berna,Cochrane,d008,Research
11106,Aris,Iwayama,d005,Development
11110,Valeska,Birjandi,d004,Production
11111,Udi,Zastre,d004,Production
11112,Boaz,Mukaidono,d009,Customer Service
11113,Shahab,Peng,d001,Marketing
11114,Tse,Felcyn,d008,Research
11119,Ramzi,Luga,d004,Production
11121,Vugranam,Kakkad,d005,Development
11130,Xinyu,Menhoudj,d003,Human Resources
11132,Kristin,Harnett,d004,Production
11133,Nalini,Azulay,d006,Quality Management
11134,Sachar,Rajcani,d006,Quality Management
11137,Hugh,Luca,d005,Development
11139,Bogdan,Homond,d009,Customer Service
11143,Yongdong,Rosen,d005,Development
11144,Carrsten,Heinisuo,d007,Sales
11145,Jinxi,Baak,d004,Production
11146,Ishfaq,Masand,d007,Sales
11147,Ayonca,Nitsch,d005,Development
11148,Zhanqiu,Botman,d002,Finance
11156,Tomoyuki,Armand,d005,Development
11158,Masaki,Hagimont,d004,Production
11162,Kauko,Narlikar,d005,Development
11168,Shmuel,Tetzlaff,d007,Sales
11170,Minghong,Cannard,d005,Development
11174,Akhilish,Milicia,d004,Production
11177,Chrisa,dAstous,d005,Development
11180,Mitsuyuki,Bojadziev,d005,Development
11181,Hausi,Cullers,d005,Development
11185,Aloys,Baezner,d009,Customer Service
11186,Kshitij,Stasinski,d004,Production
11189,Dante,Bodoff,d007,Sales
11192,Apostol,Bahr,d006,Quality Management
11195,Masanao,Lovengreen,d004,Production
11197,Tadahiro,Fordan,d007,Sales
11201,Jouko,Masaki,d008,Research
11203,Sakthirel,Yetto,d002,Finance
11204,Diederik,Covnot,d004,Production
11206,Steen,Sury,d007,Sales
11207,Saeed,Gips,d005,Development
11208,Saniya,Valtorta,d004,Production
11211,Yurij,Rissland,d004,Production
11213,Vugranam,Munoz,d004,Production
11217,Kellie,Mawatari,d004,Production
11218,Kirk,Hemaspaandra,d006,Quality Management
11221,Alselm,Hammerschmidt,d005,Development
11229,Gretta,Ramamoorthy,d004,Production
11232,Hidefumi,Crelier,d009,Customer Service
11233,Sanjit,Waschkowski,d005,Development
11240,Kiam,Condotta,d005,Development
11243,Udi,Desikan,d004,Production
11249,Randi,Cyre,d005,Development
11251,Bezalel,Chinal,d001,Marketing
11253,Koldo,Pokrovskii,d005,Development
11254,Danel,Rindone,d007,Sales
11258,Aris,Maccarone,d009,Customer Service
11266,Florina,Rohrbach,d006,Quality Management
11267,Shaunak,Zaumen,d008,Research
11268,Aimee,Petersohn,d004,Production
11274,Masanao,Nicolson,d009,Customer Service
11275,Hitomi,Eppinger,d005,Development
11288,Domenico,Eastman,d001,Marketing
11289,Chuanti,Cherinka,d005,Development
11290,Visit,Dredge,d005,Development
11291,Gino,Glowinski,d005,Development
11292,Souichi,Sichman,d005,Development
11294,Tru,Segond,d005,Development
11295,Abdelkader,Lanzelotte,d002,Finance
11296,Hironobu,Kenevan,d004,Production
11297,Geraldo,Levergood,d004,Production
11300,Lillian,Fontet,d005,Development
11301,Mingzeng,Oxenboll,d003,Human Resources
11302,Shem,Senzako,d007,Sales
11315,Neven,Meriste,d007,Sales
11317,Shigeaki,Hagimont,d005,Development
11319,Pranas,Marrakchi,d005,Development
11320,Atilio,McAlpine,d001,Marketing
11322,Nathalie,Pocchiola,d006,Quality Management
11324,Kauko,Billingsley,d004,Production
11325,Samphel,Rossi,d005,Development
11326,Munenori,Plesums,d005,Development
11338,Kwangsub,Hanratty,d007,Sales
11339,Flemming,Massonet,d004,Production
11340,Aris,Bala,d004,Production
11343,Susanne,Erez,d005,Development
11347,Anneli,Jonsson,d005,Development
11349,Yurii,Hammerschmidt,d004,Production
11360,Fen,Schach,d007,Sales
11365,Toshimi,Shinomoto,d004,Production
11372,Susanta,Vilarrasa,d007,Sales
11373,Yongmao,Keohane,d009,Customer Service
11376,Valery,Suomi,d008,Research
11380,Kenroku,Pelc,d005,Development
11385,Shiv,Ullian,d004,Production
11386,Alselm,Assaf,d006,Quality Management
11387,Jordanka,Kalloufi,d004,Production
11393,Junsik,Junot,d004,Production
11396,Anneke,Servieres,d005,Development
11398,Oscar,Peir,d002,Finance
11401,Huan,Merey,d007,Sales
11404,Bedrich,Borovoy,d005,Development
11406,Eberhardt,Gini,d008,Research
11410,Gro,Vendrig,d005,Development
11414,Eishiro,Pearson,d001,Marketing
11415,Sanjiv,Anido,d004,Production
11417,Anneli,Cyne,d006,Quality Management
11418,Satosi,Cooley,d001,Marketing
11420,Tsutomu,Lalonde,d003,Human Resources
11421,Josyula,Msuda,d004,Production
11423,Guangming,Kopetz,d009,Customer Service
11425,Renee,Crelier,d005,Development
11428,Remco,Reinhart,d006,Quality Management
11431,Youngkon,Picht,d003,Human Resources
11441,Marlo,Aingworth,d007,Sales
11446,Naftali,Narahara,d006,Quality Management
11449,Kotesh,Asser,d004,Production
11451,Eben,Rajaraman,d004,Production
11452,Shigehito,Luby,d009,Customer Service
11459,Duke,Suomi,d003,Human Resources
11460,Mana,Maraist,d004,Production
11461,Kish,Cronau,d004,Production
11468,Navin,Maksimenko,d007,Sales
11469,Guttorm,Giaccio,d004,Production
11474,Gennady,Akazan,d004,Production
11476,Manton,Yoshizawa,d001,Marketing
11477,Fox,Narahari,d004,Production
11479,Shridhar,Pleszkun,d002,Finance
11501,Karsten,Ranum,d001,Marketing
11503,Nathan,Picht,d005,Development
11506,Rance,Picel,d007,Sales
11509,Aleksander,Feldhoffer,d005,Development
11513,Otmar,Mahnke,d002,Finance
11515,Ulf,Basawa,d007,Sales
11518,Jinxi,Oxman,d003,Human Resources
11519,Halsur,Chinen,d007,Sales
11521,Eldridge,Eastman,d007,Sales
11523,Yuguang,Pezzoli,d005,Development
11524,Xiadong,Standera,d005,Development
11526,Tonny,Impagliazzo,d002,Finance
11527,Alagu,Boyle,d001,Marketing
11528,Zito,Dolinsky,d004,Production
11531,Radhika,Motley,d004,Production
11533,Vitaly,Lorch,d005,Development
11537,DAIDA,Pehl,d007,Sales
11540,Chanjung,Portugali,d004,Production
11554,Subhash,Taubenfeld,d001,Marketing
11555,Kotesh,Perfilyeva,d003,Human Resources
11562,Rimli,Alencar,d004,Production
11567,Teiji,Mitzlaff,d007,Sales
11568,Martins,Fujisaki,d005,Development
11573,Pranas,Hutton,d005,Development
11575,Godehard,Plotkin,d005,Development
11577,Mayumi,Deyuan,d006,Quality Management
11578,Edwin,Rosti,d004,Production
11581,Patricio,Rosenbaum,d005,Development
11587,Shem,Zambonelli,d005,Development
11588,Kaijung,Panangaden,d003,Human Resources
11589,Gina,Plessier,d005,Development
11595,Takanari,Kamber,d001,Marketing
11596,Yannik,Gunderson,d002,Finance
11597,Yongdong,Talmon,d005,Development
11602,Somnath,Malabarba,d001,Marketing
11603,Herb,Swen,d002,Finance
11606,Perry,Pepe,d009,Customer Service
11607,Tomokazu,Foong,d004,Production
11615,Shem,Isaak,d007,Sales
11616,Zhilian,Brendel,d004,Production
11624,Adil,Gammage,d004,Production
11628,Fan,Malinowski,d005,Development
11636,Fumitaka,Shiratori,d005,Development
11640,Valeri,Coorg,d005,Development
11641,Chikako,Rothenberg,d005,Development
11644,Sanjit,Zaiane,d004,Production
11646,Lobel,Rubsam,d005,Development
11647,Magy,Nitsche,d005,Development
11649,Shen,Bernardinello,d005,Development
11660,Gill,Stenning,d007,Sales
11664,Oksana,Brizzi,d007,Sales
11667,Kristian,Marchegay,d001,Marketing
11673,Henk,Felder,d004,Production
11676,Valeri,Ferriere,d004,Production
11681,Fumitake,Benzmuller,d004,Production
11684,Oksana,Gide,d001,Marketing
11686,Nadjib,Srimani,d004,Production
11690,Domenick,Raczkowsky,d003,Human Resources
11693,Hideo,Coorg,d005,Development
11696,Dante,Rothe,d007,Sales
11705,Arve,Hofmeyr,d003,Human Resources
11708,Chenye,Angot,d007,Sales
11713,Danel,Heusch,d006,Quality Management
11732,Sanjoy,Ranft,d004,Production
11733,Leszek,Sudbeck,d005,Development
11735,Amalendu,Picci,d009,Customer Service
11736,Shugo,Uchoa,d004,Production
11737,Martina,Garnier,d006,Quality Management
11738,Tadahiro,Lichtman,d004,Production
11746,Koichi,Marrakchi,d007,Sales
11747,Aksel,Kossowski,d007,Sales
11748,Lihong,Massonet,d005,Development
11751,Jiafu,Emiris,d008,Research
11755,Zhenbing,Karner,d009,Customer Service
11756,Abdelwaheb,Vakili,d005,Development
11763,Yuriy,Liesche,d005,Development
11764,Sanjay,Anick,d004,Production
11765,Zorica,Junet,d003,Human Resources
11769,Chandrasekaran,Lampe,d005,Development
11770,Arumugam,Jakobus,d005,Development
11772,Gaurav,Penz,d005,Development
11774,Aron,Wroclawski,d004,Production
11778,Dhritiman,Fontan,d004,Production
11779,Shunichi,Thombley,d008,Research
11791,Gal,Mamelak,d005,Development
11797,Chenxi,Thambidurai,d001,Marketing
11801,Tommaso,Dayang,d007,Sales
11805,Rosine,Grandbois,d005,Development
11807,Chriss,Binding,d004,Production
11810,Amabile,Bhattacharjee,d005,Development
11811,Herb,Boissier,d007,Sales
11813,Gita,Muhlberg,d007,Sales
11814,Manohar,Shinomoto,d003,Human Resources
11817,Niranjan,Markovitch,d007,Sales
11821,Mary,Piazza,d004,Production
11822,Sastry,Madeira,d009,Customer Service
11823,Weiyi,Iacovou,d005,Development
11829,Chaosheng,Pettis,d004,Production
11832,Arto,Zlotek,d005,Development
11836,Ortrud,Bakhtari,d008,Research
11838,Taiji,Nitta,d007,Sales
11841,Elvia,Bugrara,d001,Marketing
11842,Moto,Piazza,d008,Research
11844,Shawna,Demeyer,d005,Development
11846,Fai,Perly,d004,Production
11847,Tzvetan,Brandsma,d004,Production
11853,Zeljko,Kusakabe,d001,Marketing
11857,Divier,Farrag,d007,Sales
11862,Alejandra,Deville,d006,Quality Management
11864,Pradeep,Kriebel,d009,Customer Service
11868,Kwee,Demke,d006,Quality Management
11869,Fumino,Luca,d004,Production
11871,Nalini,Sommen,d005,Development
11872,Cheong,Riexinger,d001,Marketing
11876,Leszek,Kobuchi,d005,Development
11877,Heng,Sudkamp,d009,Customer Service
11881,Arra,Staelin,d007,Sales
11883,Nectarios,Bhattacharjee,d006,Quality Management
11888,Badri,Azulay,d001,Marketing
11894,Mitchel,Validov,d005,Development
11896,Shaunak,Benzmuller,d004,Production
11897,Cordelia,Setlzner,d007,Sales
11906,Hideo,Boguraev,d005,Development
11911,Ashish,Mondadori,d005,Development
11915,Miomir,Mawatari,d004,Production
11917,Jiakeng,VanScheik,d004,Production
11926,Leni,Felcyn,d004,Production
11931,Gunilla,Chiodo,d008,Research
11933,Basil,Erman,d005,Development
11938,Aruna,Verspoor,d004,Production
11939,Chinhyun,Basart,d004,Production
11940,Ult,Anido,d005,Development
11944,Along,Aumann,d006,Quality Management
11945,Limsoon,Marakhovsky,d003,Human Resources
11948,Yahiko,Nergos,d004,Production
11949,Martijn,Harbusch,d004,Production
11951,Bernt,Haumacher,d005,Development
11965,Arup,Morrey,d004,Production
11972,Sibyl,Beausoleil,d001,Marketing
11980,Yechezkel,Pews,d007,Sales
11983,Jaana,Hedayat,d005,Development
11987,Vidya,Schaar,d004,Production
11988,Chinya,Chinin,d005,Development
11989,Erzsebet,Peltason,d004,Production
11993,Marit,Dalphin,d003,Human Resources
11994,Sigeru,Fiebach,d001,Marketing
11997,Heon,Mawatari,d003,Human Resources
12007,Marko,Dehkordi,d005,Development
12008,Frederique,Zykh,d006,Quality Management
12011,Zhilian,Coorg,d007,Sales
12015,Kensei,Guenter,d008,Research
12021,Chikara,Rahimi,d004,Production
12023,Chuanyi,Eppinger,d006,Quality Management
12024,Mayumi,Lanzelotte,d003,Human Resources
12025,Jaewoo,Heiserman,d001,Marketing
12028,Ingemar,Walstra,d005,Development
12030,Shuky,Cromarty,d003,Human Resources
12033,Visit,Serot,d005,Development
12034,Aemilian,Piazza,d007,Sales
12036,Mads,Ratzlaff,d001,Marketing
12037,Arunas,Katzenelson,d009,Customer Service
12040,Bluma,Kermarrec,d001,Marketing
12043,Masaki,Lubachevsky,d008,Research
12044,Rance,Hemaspaandra,d004,Production
12047,Jordanka,Ligten,d006,Quality Management
12050,Yuchang,Tchuente,d004,Production
12052,Masako,Khasidashvili,d005,Development
12053,Yechezkel,Pelc,d004,Production
12054,Odysseas,Braccini,d007,Sales
12055,Rutger,Kilgore,d002,Finance
12060,Toshimi,Antonakopoulos,d006,Quality Management
12062,Margareta,Worfolk,d003,Human Resources
12063,Lein,Bale,d004,Production
12069,Ayonca,Burnard,d005,Development
12070,Ger,Shokrollahi,d005,Development
12076,Karlis,Siprelle,d007,Sales
12077,Steve,Hutton,d005,Development
12080,Panayotis,Feinberg,d007,Sales
12082,Xinan,Yamaashi,d007,Sales
12087,Weijing,Jumpertz,d005,Development
12089,Bilhanan,Socorro,d003,Human Resources
12090,Shigenori,Angelopoulos,d004,Production
12091,Lansing,Cunliffe,d006,Quality Management
12092,Kauko,Unno,d008,Research
12093,Evgueni,Oxenboll,d005,Development
12094,Weiru,Pearson,d009,Customer Service
12095,Fai,Smeets,d004,Production
12099,Nobuyoshi,Kuzuoka,d007,Sales
12102,Aron,Erde,d007,Sales
12103,Becky,Erie,d009,Customer Service
12104,Dulce,Kohling,d004,Production
12112,Satyanarayana,Avouris,d002,Finance
12114,Shiv,Rubsam,d008,Research
12122,Satoru,Krone,d004,Production
12123,Xiahua,Syrzycki,d008,Research
12125,Shounak,Erman,d005,Development
12128,Yannik,Barreiro,d007,Sales
12138,Takahito,Brender,d004,Production
12140,Xudong,Paciorek,d003,Human Resources
12148,Hidde,Garigliano,d004,Production
12149,Suebskul,Grandbois,d007,Sales
12159,Shem,Perly,d005,Development
12160,Aamer,Garrabrants,d007,Sales
12164,Muneo,Chachaty,d005,Development
12165,Xiaobin,Maquelin,d005,Development
12168,Arnd,Salverda,d009,Customer Service
12172,Jianhua,Llado,d003,Human Resources
12173,Adel,Nanard,d004,Production
12174,Slavian,Plavsic,d005,Development
12183,Harngdar,Iisaku,d006,Quality Management
12186,Guther,Nooteboom,d009,Customer Service
12190,Abdulah,Engberts,d005,Development
12191,Rosella,Bazzichi,d004,Production
12192,Feiyu,Klyachko,d006,Quality Management
12205,Sushant,Rossi,d005,Development
12206,Barton,Janetzko,d005,Development
12210,Vugranam,Ashish,d008,Research
12213,Kwangho,Brizzi,d007,Sales
12216,Aloke,Mansanne,d006,Quality Management
12218,Yaghout,Strooper,d006,Quality Management
12219,Junsik,Gadepally,d008,Research
12221,Vincent,Melter,d005,Development
12222,Abdelwaheb,Holburn,d002,Finance
12223,Niteen,Koyama,d004,Production
12230,Yuriy,Bellone,d005,Development
12231,Nishit,Bharadwaj,d004,Production
12235,Honesty,Haumacher,d007,Sales
12242,Satoru,Wolniewicz,d005,Development
